MunicipalityId;Name;FixedSeatCount;ElectionId
526;Täby Östra;29;2
527;Töreboda;31;2
528;Uddevalla;61;2
529;Ulricehamn;49;2
530;Umeå centrala;34;2
530;Umeå omland;24;2
531;Upplands Väsby;61;2
532;Upplands-Bro;51;2
533;Uppsala;81;2
534;Uppvidinge;31;2
535;Vadstena;35;2
536;Vaggeryd;41;2
537;Valdemarsvik;31;2
538;Vallentuna;51;2
539;Vansbro;31;2
540;Vara;41;2
541;Varbergs norra valkrets;26;2
541;Varbergs södra valkrets;28;2
542;Vaxholm;31;2
543;Vellinge;51;2
544;Vetlanda;45;2
545;Vilhelmina;27;2
546;Vimmerby;45;2
547;Vindeln;29;2
548;Vingåker;31;2
549;Vårgårda;41;2
550;Vänersborg;51;2
551;Vännäs;31;2
552;Värmdö;51;2
553;Värnamo;51;2
554;Västervik;57;2
555;Västerås;61;2
556;Växjö;61;2
557;Ydre;21;2
558;Ystad;51;2
559;Åmål;35;2
560;Ånge;35;2
561;Åre;37;2
562;Årjäng;35;2
563;Åsele;25;2
564;Åstorp;31;2
565;Åtvidaberg;35;2
566;Älmhult;41;2
567;Älvdalen;35;2
568;Älvkarleby;31;2
569;Älvsbyn;27;2
570;Ängelholm;51;2
571;Öckerö;41;2
572;Ödeshög;29;2
573;Örebro Norra;29;2
573;Örebro Södra;29;2
574;Örkelljunga;37;2
575;Örnsköldsviks Norra;25;2
575;Örnsköldsviks Södra;29;2
576;Östersund;61;2
577;Österåker;61;2
578;Östhammar;49;2
579;Östra Göinge;31;2
580;Överkalix;25;2
581;Övertorneå;25;2
